,Emotion,Emotion intensity,Gender,Path
0,3,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-03-02-01-01-20.wav
1,2,normal,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-02-01-01-02-20.wav
2,4,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-04-02-02-02-20.wav
3,6,normal,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-06-01-01-02-20.wav
4,5,normal,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-05-01-01-02-20.wav
5,6,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-06-02-01-02-20.wav
6,3,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-03-02-01-02-20.wav
7,5,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-05-02-01-01-20.wav
8,5,normal,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-05-01-02-02-20.wav
9,0,normal,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-08-01-01-02-20.wav
10,2,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-02-02-01-01-20.wav
11,2,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-02-02-02-01-20.wav
12,5,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-05-02-01-02-20.wav
13,6,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-06-02-02-02-20.wav
14,2,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-02-02-02-02-20.wav
15,1,normal,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-01-01-02-01-20.wav
16,6,normal,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-06-01-02-02-20.wav
17,5,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-05-02-02-01-20.wav
18,7,strong,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-07-02-02-01-20.wav
19,4,normal,female,/workspaces/SER_/audio_speech_actors_01-24/Actor_20/03-01-04-01-01-02-20.wav
